Model,Regression_Slope,Regression_Intercept,R_Value,R_Squared,P_Value,Std_Error,Mean_Smoothness_Ratio,Std_Smoothness_Ratio,Median_Smoothness_Ratio,Sample_Count
JEPA,0.00011533524522946261,0.14612891717717003,0.7905731007683603,0.6250058276585,0.0,4.686340414209378e-07,0.00042194952,0.00027083931,0.000365722,36343
ENCODER_DECODER,0.00011782410608977404,0.10497327708485972,0.8209588011522894,0.6739733531894042,0.0,4.298737264853772e-07,0.0003205612,0.00021401492,0.00026459165,36343
