Model,k,Trust_mean,Trust_std,Cont_mean,Cont_std
JEPA,5,0.9646994791666665,0.004896787944388556,0.9751828124999999,0.0028429309050067284
JEPA,10,0.9587105691056911,0.006962788599764448,0.9692617886178863,0.002905578073729656
JEPA,15,0.9592538606403013,0.00791012960323283,0.9681361581920903,0.0038515650119170125
ENCODER_DECODER,5,0.6441598958333333,0.019449703242400605,0.6618416666666668,0.010501402022798879
ENCODER_DECODER,10,0.6291140921409214,0.01676971419667883,0.631941192411924,0.011024336219766204
ENCODER_DECODER,15,0.6240476459510358,0.015782567622973257,0.6227001883239172,0.012066460982301026
